Title;Type;Date of release;runtime;score;languages;Title.7;Genre;Premiere;Runtime;IMDB Score;Language
The Beast;Drama;November 27, 2020;99;52;Italian;;;;;;
The Week Of;Comedy;April 27, 2018;116;52;English;;;;;;
A Christmas Prince: The Royal Wedding;Romantic comedy;November 30, 2018;92;53;English;;;;;;
Back to School;Comedy;August 30, 2019;83;53;French;;;;;;
Dangerous Lies;Thriller;April 30, 2020;97;53;English;;;;;;
Gunjan Saxena: The Kargil Girl;Drama;August 12, 2020;112;53;Hindi;;;;;;
Intuition;Thriller;May 28, 2020;116;53;Spanish;;;;;;
The Most Assassinated Woman in the World;Thriller;September 7, 2018;102;53;French;;;;;;
Things Heard & Seen;Horror;April 29, 2021;121;53;English;;;;;;
Who Would You Take to a Deserted Island?;Drama;April 12, 2019;93;53;Spanish;;;;;;
XOXO;Drama;August 26, 2016;92;53;English;;;;;;
A Babysitter's Guide to Monster Hunting;Comedy/Fantasy/Family;October 15, 2020;98;54;English;;;;;;
A Christmas Prince: The Royal Baby;Romantic comedy;December 5, 2019;85;54;English;;;;;;
Despite Everything;Comedy;May 3, 2019;78;54;Spanish;;;;;;
Dolly Kitty and Those Twinkling Stars;Drama;September 18, 2020;120;54;Hindi;;;;;;
Freaks: You're One of Us;Supernatural drama;September 2, 2020;92;54;German;;;;;;
Game Over; Man!;Action/Comedy;101;54;English;;;;;;
Guilty;Thriller;March 6, 2020;119;54;Hindi;;;;;;
In the Tall Grass;Horror;October 4, 2019;101;54;English;;;;;;
Madame Claude;Drama;April 2, 2021;112;54;French;;;;;;
Naked;Comedy;August 11, 2017;96;54;English;;;;;;
Outside the Wire;Action/Science fiction;January 15, 2021;114;54;English;;;;;;
The Princess Switch: Switched Again;Romantic comedy;November 19, 2020;97;54;English;;;;;;
Under the Riccione Sun;Romantic teenage drama;July 1, 2020;101;54;Italian;;;;;;
A Very Murray Christmas;Comedy / Musical;December 4, 2015;56;55;English;;;;;;
Been So Long;Musical;October 26, 2018;100;55;English;;;;;;
Dead Kids;Thriller;December 1, 2019;94;55;Filipino;;;;;;
Get the Grift;Comedy;April 28, 2021;94;55;Portuguese;;;;;;
House Arrest;Comedy;November 15, 2019;104;55;Hindi;;;;;;
Kevin Hart's Guide to Black History;Variety show;February 8, 2019;63;55;English;;;;;;
Love Wedding Repeat;Romantic comedy;April 10, 2020;100;55;English;;;;;;
Mute;Science fiction/Mystery;February 23, 2018;126;55;English;;;;;;
?l?t?r?;Crime drama;October 2, 2020;106;55;English;;;;;;
Red Dot;Thriller;February 11, 2021;86;55;Swedish;;;;;;
Ride or Die;Psychological thriller drama;April 15, 2021;142;55;Japanese;;;;;;
Step Sisters;Comedy;January 19, 2018;108;55;English;;;;;;
The Cloverfield Paradox;Science fiction;February 4, 2018;102;55;English;;;;;;
The Knight Before Christmas;Romantic comedy;November 21, 2019;92;55;English;;;;;;
The Legacy of a Whitetail Deer Hunter;Adventure/Comedy;July 6, 2018;83;55;English;;;;;;
The Package;Black comedy;August 10, 2018;94;55;English;;;;;;
Unicorn Store;Comedy;April 5, 2019;92;55;English;;;;;;
Wine Country;Comedy;May 10, 2019;103;55;English;;;;;;
Bomb Scared;Black comedy;October 12, 2017;89;56;Spanish/Basque;;;;;;
Brahman Naman;Comedy;July 7, 2016;95;56;English;;;;;;
Double Dad;Comedy-drama;January 15, 2021;103;56;Portuguese;;;;;;
Falling Inn Love;Romantic comedy;August 29, 2019;97;56;English;;;;;;
Hold the Dark;Thriller;September 28, 2018;125;56;English;;;;;;
One-Way to Tomorrow;Romance;June 19, 2020;90;56;Turkish;;;;;;
Sarah Cooper: Everything's Fine;Variety show;October 27, 2020;49;56;English;;;;;;
The Last Laugh;Comedy-drama;January 11, 2019;98;56;English;;;;;;
The Last Paradiso;Romantic drama;February 5, 2021;107;56;Italian;;;;;;
The Midnight Sky;Science fiction;December 23, 2020;118;56;English;;;;;;
The Paramedic;Thriller;September 16, 2020;94;56;Spanish;;;;;;
The Sleepover;Comedy;August 21, 2020;103;56;English;;;;;;
Vampires vs. the Bronx;Horror comedy;October 2, 2020;86;56;English;;;;;;
Why Did You Kill Me?;Documentary;April 14, 2021;83;56;English;;;;;;
A Week Away;Christian musical;March 26, 2021;97;57;English;;;;;;
Caught by a Wave;Romantic teen drama;March 25, 2021;99;57;Italian;;;;;;
Christmas Inheritance;Romantic drama;December 15, 2017;104;57;English;;;;;;
Dad Wanted;Family;September 11, 2020;102;57;Spanish;;;;;;
El Camino Christmas;Dark comedy;December 8, 2017;89;57;English;;;;;;
Eli;Horror;October 18, 2019;98;57;English;;;;;;
Ginny Weds Sunny;Romantic comedy;October 9, 2020;125;57;Hindi;;;;;;
Good Sam;Drama;May 16, 2019;89;57;English;;;;;;
Lionheart;Comedy;January 4, 2019;94;57;English;;;;;;
Little Evil;Comedy horror;September 1, 2017;94;57;English;;;;;;
One Take;Documentary;June 18, 2020;85;57;Thai;;;;;;
Point Blank;Action;July 12, 2019;86;57;English;;;;;;
Prime Time;Thriller;April 14, 2021;91;57;Polish;;;;;;
The Do-Over;Action comedy;May 27, 2016;108;57;English;;;;;;
The Holiday Calendar;Romantic comedy;November 2, 2018;95;57;English;;;;;;
The Woman in the Window;Psychological thriller;May 14, 2021;100;57;English;;;;;;
The Wrong Missy;Comedy;May 13, 2020;90;57;English;;;;;;
Velvet Buzzsaw;Thriller;February 1, 2019;112;57;English;;;;;;
Yes Day;Comedy;March 12, 2021;86;57;English;;;;;;
15 August;Comedy-drama;March 29, 2019;124;58;Marathi;;;;;;
A California Christmas;Romantic comedy;December 14, 2020;107;58;English;;;;;;
A Christmas Prince;Romantic comedy;November 17, 2017;92;58;English;;;;;;
All Day and a Night;Drama;May 1, 2020;121;58;English;;;;;;
American Son;Drama;November 1, 2019;90;58;English;;;;;;
Barry;Biopic;December 16, 2016;104;58;English;;;;;;
Candy Jar;Comedy;April 27, 2018;92;58;English;;;;;;
Choked: Paisa Bolta Hai;Drama;June 5, 2020;114;58;Hindi;;;;;;
Class of '83;Drama;August 21, 2020;98;58;Hindi;;;;;;
Extinction;Science fiction/Thriller;July 27, 2018;95;58;English;;;;;;
Happy Anniversary;Romantic comedy;March 30, 2018;78;58;English;;;;;;
I Am All Girls;Thriller;May 14, 2021;107;58;English;;;;;;
Let It Snow;Romantic comedy;November 8, 2019;92;58;English;;;;;;
Mascots;Mockumentary;October 13, 2016;95;58;English;;;;;;
Operation Christmas Drop;Romantic comedy;November 5, 2020;96;58;English;;;;;;
Rajma Chawal;Comedy-drama;November 30, 2018;118;58;Hindi;;;;;;
Rich in Love;Romantic comedy;April 30, 2020;105;58;Portuguese;;;;;;
Rising High;Satire;April 17, 2020;94;58;German;;;;;;
Rodney King;One-man show;April 28, 2017;52;58;English;;;;;;
Sierra Burgess Is a Loser;Romantic comedy-drama;September 7, 2018;105;58;English;;;;;;
Small Crimes;Dark comedy;April 28, 2017;95;58;English;;;;;;
Special Correspondents;Satire;April 29, 2016;100;58;English;;;;;;
TAU;Science fiction/Thriller;June 29, 2018;97;58;English;;;;;;
The After Party;Comedy;August 24, 2018;89;58;English;;;;;;
The Babysitter: Killer Queen;Comedy/Horror;September 10, 2020;102;58;English;;;;;;
The Claus Family;Fantasy;December 7, 2020;96;58;Dutch;;;;;;
The Kissing Booth 2;Romantic comedy;July 24, 2020;131;58;English;;;;;;
The Perfect Date;Romantic comedy;April 12, 2019;89;58;English;;;;;;
What We Wanted;Drama;November 11, 2020;93;58;German;;;;;;
You've Got This;Romantic comedy;October 2, 2020;111;58;Spanish;;;;;;
6 Balloons;Drama;April 6, 2018;75;59;English;;;;;;
A Fall from Grace;Thriller;January 17, 2020;120;59;English;;;;;;
Amateur;Sports-drama;April 6, 2018;96;59;English;;;;;;
Army of the Dead;Zombie/Heist;May 21, 2021;148;59;English;;;;;;
Cam;Psychological horror;November 16, 2018;94;59;English;;;;;;
Earthquake Bird;Mystery;November 15, 2019;107;59;English;;;;;;
Horse Girl;Drama;February 7, 2020;104;59;English;;;;;;
Notes from Dunblane: Lesson from a School Shooting;Documentary;September 28, 2018;23;59;English;;;;;;
Maska;Romantic comedy;March 27, 2020;111;59;Hindi;;;;;;
The Decline;Thriller;March 27, 2020;83;59;French;;;;;;
The Minimalists: Less Is Now;Documentary;January 1, 2021;53;59;English;;;;;;
The Polka King;Comedy-drama;January 12, 2018;95;59;English;;;;;;
The Prom;Musical;December 11, 2020;132;59;English;;;;;;
True Memoirs of an International Assassin;Action comedy;November 11, 2016;98;59;English;;;;;;
Ultras;Sports film;March 20, 2020;108;59;Italian;;;;;;
Come Sunday;Biopic;April 13, 2018;106;6;English;;;;;;
Forgive Us Our Debts;Drama;May 4, 2018;104;6;Italian;;;;;;
iBoy;Science fiction/Thriller;January 27, 2017;90;6;English;;;;;;
Lovefucked;Drama;August 9, 2019;106;6;Hindi;;;;;;
Juanita;Drama;March 8, 2019;90;6;English;;;;;;
Murder Mystery;Comedy mystery;June 14, 2019;97;6;English;;;;;;
Project Power;Superhero;August 14, 2020;113;6;English;;;;;;
Rebecca;Romantic thriller;October 21, 2020;123;6;English;;;;;;
The Christmas Chronicles: Part Two;Christmas comedy;November 25, 2020;115;6;English;;;;;;
The Kissing Booth;Romantic comedy;May 11, 2018;105;6;English;;;;;;
The Princess Switch;Romantic comedy;November 16, 2018;101;6;English;;;;;;
To All the Boys: P.S. I Still Love You;Romantic comedy;February 12, 2020;102;6;English;;;;;;
War Machine;War-Comedy;May 26, 2017;122;6;English;;;;;;
6 Underground;Action;December 13, 2019;128;61;English;;;;;;
Between Two Ferns: The Movie;Comedy;September 20, 2019;82;61;English;;;;;;
Burning Sands;Drama;March 10, 2017;102;61;English;;;;;;
Casting JonBenet;Documentary;April 28, 2017;80;61;English;;;;;;
Deidra & Laney Rob a Train;Drama;March 17, 2017;94;61;English;;;;;;
Finding 'Ohana;Family;January 29, 2021;123;61;English;;;;;;
Holidate;Romantic comedy/Holiday;October 28, 2020;104;61;English;;;;;;
Holiday in the Wild;Adventure-romance;November 1, 2019;85;61;English;;;;;;
Hot Girls Wanted;Documentary;May 29, 2015;84;61;English;;;;;;
Like Father;Comedy;August 3, 2018;103;61;English;;;;;;
Lost Girls;Crime drama;March 13, 2020;95;61;English;;;;;;
Otherhood;Comedy;August 2, 2019;100;61;English;;;;;;
Pee-wee's Big Holiday;Adventure;March 18, 2016;89;61;English;;;;;;
Rogue City;Crime drama;October 30, 2020;116;61;French;;;;;;
Sergio;Biopic;April 17, 2020;118;61;English;;;;;;
Stuck Apart;Drama;January 8, 2021;96;61;Turkish;;;;;;
Tersanjung the Movie;Drama;April 1, 2021;114;61;Indonesian;;;;;;
The Killer;Western;November 10, 2017;99;61;Portuguese;;;;;;
The Lovebirds;Romantic comedy;May 22, 2020;87;61;English;;;;;;
The Most Hated Woman in America;Biopic;March 24, 2017;92;61;English;;;;;;
The Perfection;Horror-thriller;May 24, 2019;90;61;English;;;;;;
Tribhanga ? Tedhi Medhi Crazy;Drama;January 15, 2021;95;61;Hindi;;;;;;
Unknown Origins;Thriller;August 28, 2020;96;61;Spanish;;;;;;
Work It;Dance comedy;August 7, 2020;93;61;English;;;;;;
Alien Xmas;Stop Motion;November 20, 2020;42;62;English;;;;;;
Baggio: The Divine Ponytail;Biopic;May 26, 2021;92;62;Italian;;;;;;
Below Zero;Drama;January 29, 2021;106;62;Spanish;;;;;;
Citation;Drama;November 6, 2020;151;62;English;;;;;;
Crazy Awesome Teachers;Comedy-drama;August 17, 2020;101;62;Indonesian;;;;;;
Have You Ever Seen Fireflies?;Comedy;April 9, 2021;114;62;Turkish;;;;;;
High Flying Bird;Sports-drama;February 8, 2019;90;62;English;;;;;;
In the Shadow of the Moon;Thriller;September 27, 2019;115;62;English;;;;;;
Lost Bullet;Thriller;June 19, 2020;92;62;French;;;;;;
Octonauts & the Caves of Sac Actun;Animation;August 14, 2020;72;62;English;;;;;;
Offering to the Storm;Thriller;July 24, 2020;139;62;Spanish;;;;;;
Roxanne Roxanne;Biopic;March 23, 2018;98;62;English;;;;;;
Someone Great;Romantic comedy;April 19, 2019;92;62;English;;;;;;
Spenser Confidential;Action comedy;March 6, 2020;111;62;English;;;;;;
The Land of Steady Habits;Drama;September 14, 2018;98;62;English;;;;;;
The Rachel Divide;Documentary;April 27, 2018;104;62;English;;;;;;
Voyuer ;Documentary;December 1, 2017;95;62;English;;;;;;
Win It All;Comedy;April 7, 2017;88;62;English;;;;;;
1922;Horror/Crime drama;October 20, 2017;102;63;English;;;;;;
A Tale of Two Kitchens;Documentary;May 22, 2019;30;63;English/Spanish;;;;;;
Alex Strangelove;Romantic comedy;June 8, 2018;99;63;English;;;;;;
Apostle;Horror-thriller;October 12, 2018;129;63;English;;;;;;
Benji;Family film;March 16, 2018;87;63;English;;;;;;
Bright;Urban fantasy;December 22, 2017;117;63;English;;;;;;
Cargo;Drama/Horror;May 18, 2018;104;63;English;;;;;;
Concrete Cowboy;Drama;April 2, 2021;111;63;English;;;;;;
Feel the Beat;Family/Comedy-drama;June 19, 2020;107;63;English;;;;;;
Get the Goat;Comedy;March 18, 2021;97;63;Portuguese;;;;;;
I Am Not an Easy Man;Romantic comedy;April 13, 2018;98;63;French;;;;;;
June & Kopi;Drama;January 28, 2021;90;63;Indonesian;;;;;;
Music Teacher;Drama;April 19, 2019;101;63;Hindi;;;;;;
Nail Bomber: Manhunt;Documentary;May 26, 2021;72;63;English;;;;;;
Notes for My Son;Drama;November 24, 2020;83;63;Spanish;;;;;;
Polar;Action;January 25, 2019;118;63;English;;;;;;
Porta dos Fundos: The Last Hangover;Comedy;December 21, 2018;44;63;Portuguese;;;;;;
Sand Castle;War;April 21, 2017;113;63;English;;;;;;
Shimmer Lake;Crime thriller;June 9, 2017;86;63;English;;;;;;
Spectral;Science fiction/Action;December 9, 2016;108;63;English;;;;;;
The Babysitter;Teen comedy horror;October 13, 2017;85;63;English;;;;;;
The Discovery;Science fiction/Drama;March 31, 2017;102;63;English;;;;;;
The Forest of Love;Drama;October 11, 2019;151;63;Japanese;;;;;;
The Laundromat;Comedy-drama;October 18, 2019;98;63;English;;;;;;
The Legend of Cocaine Island;Documentary;March 29, 2019;87;63;English;;;;;;
The Outsider;Crime drama;March 9, 2018;120;63;English/Japanese;;;;;;
Time to Hunt;Thriller;April 23, 2020;134;63;Korean;;;;;;
To All the Boys: Always and Forever;Romantic comedy;February 12, 2021;109;63;English;;;;;;
Travis Scott: Look Mom I Can Fly;Documentary;August 28, 2019;85;63;English;;;;;;
Uncorked;Drama;March 27, 2020;103;63;English;;;;;;
Anelka: Misunderstood;Documentary;August 5, 2020;94;64;French;;;;;;
ARQ;Science fiction/Thriller;September 16, 2016;88;64;English;;;;;;
Birders;Documentary;September 25, 2019;37;64;English/Spanish;;;;;;
Como Ca?do del Cielo;Musical comedy;December 24, 2019;112;64;Spanish;;;;;;
First Match;Sports-drama;March 30, 2018;102;64;English;;;;;;
Fractured;Thriller;October 11, 2019;100;64;English;;;;;;
Irreplaceable You;Drama;February 16, 2018;96;64;English;;;;;;
Isi & Ossi;Romantic comedy;February 14, 2020;113;64;German;;;;;;
John Was Trying to Contact Aliens;Documentary;August 20, 2020;16;64;English;;;;;;
Layla Majnun;Romantic drama;February 11, 2021;119;64;Indonesian;;;;;;
Murder to Mercy: The Cyntoia Brown Story;Documentary;April 29, 2020;97;64;English;;;;;;
My Own Man;Documentary;December 13, 2014;81;64;English;;;;;;
Nappily Ever After;Comedy-drama;September 21, 2018;98;64;English;;;;;;
Over the Moon;Animation/Musical/Adventure;October 23, 2020;95;64;English;;;;;;
Street Flow;Drama;October 12, 2019;96;64;French;;;;;;
Sturgill Simpson Presents: Sound & Fury;Animation / Musicial;September 27, 2019;41;64;English;;;;;;
Take Your Pills;Documentary;March 16, 2018;87;64;English;;;;;;
The Heartbreak Club;Comedy-drama;January 14, 2021;101;64;Indonesian;;;;;;
The Mars Generation;Documentary;May 5, 2017;97;64;English;;;;;;
The Occupant;Thriller;March 25, 2020;103;64;Spanish;;;;;;
The Willoughbys;Animation/Comedy/Adventure;April 22, 2020;90;64;English;;;;;;
Triple Frontier;Action-thriller;March 13, 2019;125;64;English;;;;;;
Two Catalonias;Documentary;September 28, 2018;116;64;Spanish/Catalan;;;;;;
Walk. Ride. Rodeo.;Drama;March 8, 2019;99;64;English;;;;;;
Wheelman;Action thriller;October 20, 2017;82;64;English;;;;;;
When We First Met;Romantic comedy;February 9, 2018;97;64;English;;;;;;
A 3 Minute Hug;Documentary;October 28, 2019;28;65;English/Spanish;;;;;;
All the Bright Places;Romance;February 28, 2020;108;65;English;;;;;;
All Together Now;Drama;August 28, 2020;93;65;English;;;;;;
Altered Carbon: Resleeved;Anime/Science fiction;March 19, 2020;74;65;Japanese;;;;;;
Antoine Griezmann: The Making of a Legend;Documentary;March 21, 2019;60;65;French;;;;;;
Canvas ;Animation / Short;December 11, 2020;9;65;English;;;;;;
Chadwick Boseman: Portrait of an Artist;Documentary;April 17, 2021;21;65;English;;;;;;
Chopsticks;Comedy;May 31, 2019;100;65;Hindi;;;;;;
Da 5 Bloods;War drama;June 12, 2020;155;65;English;;;;;;
Dolly Parton: A MusiCares Tribute;Documentary;April 7, 2021;55;65;English;;;;;;
Eurovision Song Contest: The Story of Fire Saga;Musical comedy;June 26, 2020;123;65;English;;;;;;
Gerald's Game;Horror thriller;September 29, 2017;103;65;English;;;;;;
His House;Thriller;October 30, 2020;93;65;English;;;;;;
Jingle Jangle: A Christmas Journey;Family/Christmas musical;November 13, 2020;119;65;English;;;;;;
Life Overtakes Me;Documentary;June 14, 2019;40;65;English/Swedish;;;;;;
Lust Stories;Drama;June 15, 2018;120;65;Hindi;;;;;;
Monster;Drama;May 7, 2021;98;65;English;;;;;;
Mowgli: Legend of the Jungle;Adventure;December 7, 2018;104;65;English;;;;;;
Nobody Knows I'm Here;Drama;June 24, 2020;91;65;Spanish;;;;;;
Nobody Speak: Trials of the Free Press;Documentary;June 23, 2017;95;65;English;;;;;;
Oxygen;Science fiction thriller;May 12, 2021;101;65;French;;;;;;
Set It Up;Romantic comedy;June 15, 2018;105;65;English;;;;;;
The Incredible Jessica James;Comedy;July 28, 2017;83;65;English;;;;;;
Tigertail;Drama;April 10, 2020;91;65;English/Taiwanese/Mandarin;;;;;;
Tramps;Romance;April 21, 2017;83;65;English;;;;;;
What Did Jack Do?;Drama / Short;January 20, 2020;17;65;English;;;;;;
Bad Trip;Hidden-camera prank comedy;March 26, 2021;86;66;English;;;;;;
Bird Box;Psychological thriller;December 21, 2018;124;66;English;;;;;;
Bulbbul;Horror;June 24, 2020;94;66;Hindi;;;;;;
Crazy About Her;Romantic comedy;February 26, 2021;102;66;Spanish;;;;;;
Elisa & Marcela;Romance;June 7, 2019;118;66;Spanish;;;;;;
I'll Sleep When I'm Dead;Documentary;August 19, 2016;79;66;English;;;;;;
I'm Thinking of Ending Things;Psychological thriller;September 4, 2020;134;66;English;;;;;;
It Takes a Lunatic;Documentary;October 25, 2019;126;66;English;;;;;;
Milestone;Drama;May 7, 2021;98;66;Hindi;;;;;;
Recovery Boys;Documentary;June 29, 2018;89;66;English;;;;;;
ReMastered: Who Killed Jam Master Jay?;Documentary;December 7, 2018;58;66;English;;;;;;
Shawn Mendes: In Wonder;Documentary;November 23, 2020;83;66;English;;;;;;
Space Sweepers;Science fiction;February 5, 2021;136;66;Korean;;;;;;
The American Meme;Documentary;December 7, 2018;98;66;English;;;;;;
The Angel;Spy thriller;September 14, 2018;114;66;English;;;;;;
The Crimes That Bind;Crime drama;August 20, 2020;99;66;Spanish;;;;;;
The Red Sea Diving Resort;Spy thriller;July 31, 2019;130;66;English;;;;;;
What Would Sophia Loren Do?;Documentary;January 15, 2021;32;66;English;;;;;;
A Whisker Away;Anime/Fantasy;June 18, 2020;104;67;Japanese;;;;;;
Ajeeb Daastaans;Drama;April 16, 2021;142;67;Hindi;;;;;;
Arlo the Alligator Boy;Animated musical comedy;April 16, 2021;92;67;English;;;;;;
Blame!;Anime/Science fiction;May 20, 2017;106;67;Japanese;;;;;;
Blue Miracle;Drama;May 27, 2021;95;67;English;;;;;;
CounterPunch ;Documentary;June 16, 2017;91;67;English;;;;;;
Extraction;Action;April 24, 2020;117;67;English;;;;;;
Giving Voice;Documentary;December 11, 2020;90;67;English;;;;;;
Hillbilly Elegy;Drama;November 24, 2020;117;67;English;;;;;;
Hope Frozen: A Quest to Live Twice;Documentary;September 15, 2020;80;67;Thia/English;;;;;;
Imperial Dreams;Drama;February 3, 2017;87;67;English;;;;;;
Just Another Christmas;Comedy;December 3, 2020;101;67;Portuguese;;;;;;
Little Miss Sumo;Documentary;October 28, 2019;19;67;Japanese;;;;;;
Malcolm & Marie;Romantic drama;February 5, 2021;106;67;English;;;;;;
Moxie;Drama;March 3, 2021;111;67;English;;;;;;
Night in Paradise;Drama;April 9, 2021;132;67;Korean;;;;;;
Paper Lives;Drama;March 12, 2021;97;67;Turkish;;;;;;
Parchis: The Documentary;Documentary;July 10, 2019;106;67;Spanish;;;;;;
Tallulah;Comedy-drama;July 29, 2016;111;67;English;;;;;;
The Old Guard;Superhero/Action;July 10, 2020;124;67;English;;;;;;
Upstarts;Drama;October 18, 2019;112;67;Hindi;;;;;;
22 July;Drama;October 10, 2018;144;68;English;;;;;;
7 a?os;Drama;October 28, 2016;76;68;Spanish;;;;;;
A Futile and Stupid Gesture;Biographical/Comedy;January 26, 2018;101;68;English;;;;;;
A Life of Speed: The Juan Manuel Fangio Story;Documentary;March 20, 2020;92;68;Spanish;;;;;;
A Love Song for Latasha;Documentary;September 21, 2020;19;68;English;;;;;;
All in My Family;Documentary;May 3, 2019;39;68;English/Mandarin;;;;;;
Always Be My Maybe;Romantic comedy;May 31, 2019;102;68;English;;;;;;
Becoming;Documentary;May 6, 2020;89;68;English;;;;;;
Long Live Brij Mohan;Comedy;August 3, 2018;105;68;Hindi;;;;;;
